,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
17,1,BRD-A01643550-001-04-9::2.5::HTS,0.10577754813556951,prednisolone-acetate,glucocorticoid receptor agonist,NR3C1,"conjunctivitis, rosacea, punctate keratitis, shingles, iritis, cyclitis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
76,1,BRD-A08079565-001-01-8::2.5::HTS,0.1063791542810208,CDBA,,,,Phase 3,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
132,1,BRD-A13598753-001-01-2::2.5::HTS,0.13287821950834333,5'-Chloro-5'-deoxy-ENBA-(+/-),adenosine receptor agonist,ADORA1,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
133,1,BRD-A13946108-001-17-1::2.5::HTS,-0.11141603020777839,sulindac,cyclooxygenase inhibitor,"AKR1B1, MAPK3, PPARD, PTGDR2, PTGS1, PTGS2","osteoarthritis, rheumatoid arthritis, ankylosing spondylitis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
135,1,BRD-A14208071-004-19-8::2.5::HTS,0.14487062513569005,oxyphenonium,cholinergic receptor antagonist,CHRM1,peptic ulcer disease (PUD),Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
199,1,BRD-A21607826-003-05-1::2.5::HTS,0.10341273442679529,medetomidine,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",sedative,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
220,1,BRD-A24191444-046-02-1::2.5::HTS,0.13654481135690621,ifenprodil,"adrenergic receptor antagonist, glutamate receptor antagonist","GRIN1, GRIN2B",,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
236,1,BRD-A25687296-300-04-3::2.5::HTS,0.12611167834353548,emetine,protein synthesis inhibitor,RPS2,,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
278,1,BRD-A29731977-001-04-5::2.5::HTS,0.14398415331425027,17-hydroxyprogesterone-caproate,progesterone receptor agonist,"AR, ESR1, ESR2, NR1H4, NR1I2, NR3C1, PGR",,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
343,1,BRD-A38350138-001-04-9::2.5::HTS,0.11586866944011033,ketoconazole,sterol demethylase inhibitor,"AR, CYP19A1, CYP21A2, KCNA10",seborrheic dermatitis,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
